RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,xRegression,yRegression
74,200,77,78,78,200,-6,0xa123,78,200,79,80,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,80,81,84,200,-7,0xd123,2.25,0.75
76,200,77,75,74,200,-6,0xa123,78,200,79,79,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,80,84,83,200,-7,0xd123,2.25,0.75
84,200,77,74,74,200,-6,0xa123,84,200,79,79,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,80,81,83,200,-7,0xd123,2.25,0.75
76,200,77,76,74,200,-6,0xa123,82,200,79,79,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,80,85,83,200,-7,0xd123,2.25,0.75
74,200,76,75,75,200,-6,0xa123,82,200,86,79,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,84,84,82,200,-7,0xd123,2.25,0.75
80,200,76,75,75,200,-6,0xa123,82,200,86,79,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,84,84,82,200,-7,0xd123,2.25,0.75
74,200,76,74,77,200,-6,0xa123,82,200,86,79,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,84,83,81,200,-7,0xd123,2.25,0.75
80,200,75,75,77,200,-6,0xa123,82,200,81,82,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,79,81,81,200,-7,0xd123,2.25,0.75
77,200,75,79,77,200,-6,0xa123,86,200,81,76,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,79,74,81,200,-7,0xd123,2.25,0.75
83,200,76,80,79,200,-6,0xa123,86,200,84,76,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,82,74,86,200,-7,0xd123,2.25,0.75
75,200,76,81,79,200,-6,0xa123,79,200,84,81,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,82,75,86,200,-7,0xd123,2.25,0.75
79,200,76,83,79,200,-6,0xa123,82,200,81,78,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,82,74,86,200,-7,0xd123,2.25,0.75
81,200,82,83,65,200,-6,0xa123,85,200,89,87,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,83,76,77,200,-7,0xd123,0.75,0.75
81,200,82,83,70,200,-6,0xa123,85,200,89,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,83,76,77,200,-7,0xd123,0.75,0.75
84,200,91,82,66,200,-6,0xa123,85,200,88,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,75,200,80,79,77,200,-7,0xd123,0.75,0.75
85,200,91,80,67,200,-6,0xa123,88,200,88,87,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,80,76,77,200,-7,0xd123,0.75,0.75
85,200,85,83,65,200,-6,0xa123,88,200,88,86,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,80,76,77,200,-7,0xd123,0.75,0.75
85,200,85,83,66,200,-6,0xa123,88,200,88,86,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,80,76,76,200,-7,0xd123,0.75,0.75
84,200,87,82,66,200,-6,0xa123,88,200,88,86,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,86,79,76,200,-7,0xd123,0.75,0.75
81,200,83,82,67,200,-6,0xa123,88,200,88,88,84,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,86,76,77,200,-7,0xd123,0.75,0.75
81,200,88,83,67,200,-6,0xa123,88,200,88,88,84,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,80,79,77,200,-7,0xd123,0.75,0.75
82,200,86,83,66,200,-6,0xa123,88,200,88,88,72,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,80,79,89,200,-7,0xd123,0.75,0.75
81,200,86,89,66,200,-6,0xa123,88,200,88,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,80,75,77,200,-7,0xd123,0.75,0.75
83,200,86,83,67,200,-6,0xa123,88,200,88,89,84,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,80,77,76,200,-7,0xd123,0.75,0.75
82,200,90,84,67,200,-6,0xa123,88,200,89,84,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,80,77,76,200,-7,0xd123,0.75,0.75
82,200,90,83,70,200,-6,0xa123,88,200,90,86,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,85,77,77,200,-7,0xd123,0.75,0.75
86,200,84,82,67,200,-6,0xa123,83,200,90,84,71,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,83,79,76,200,-7,0xd123,0.75,0.75
85,200,84,79,67,200,-6,0xa123,83,200,90,84,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,88,86,84,200,-7,0xd123,0.75,0.75
78,200,84,90,67,200,-6,0xa123,86,200,90,85,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,88,83,84,200,-7,0xd123,0.75,0.75
76,200,85,90,67,200,-6,0xa123,81,200,89,85,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,87,83,84,200,-7,0xd123,0.75,0.75
79,200,76,85,68,200,-6,0xa123,81,200,91,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,90,88,81,200,-7,0xd123,0.75,2.25
80,200,76,85,68,200,-6,0xa123,81,200,80,79,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,90,83,80,200,-7,0xd123,0.75,2.25
81,200,76,85,68,200,-6,0xa123,82,200,80,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,90,82,80,200,-7,0xd123,0.75,2.25
81,200,85,85,70,200,-6,0xa123,82,200,80,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,78,82,72,200,-7,0xd123,0.75,2.25
81,200,78,81,71,200,-6,0xa123,82,200,81,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,78,88,67,200,-7,0xd123,0.75,2.25
80,200,77,83,71,200,-6,0xa123,83,200,90,81,83,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,78,81,80,200,-7,0xd123,0.75,2.25
79,200,79,83,71,200,-6,0xa123,81,200,82,81,83,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,77,81,67,200,-7,0xd123,0.75,2.25
86,200,81,77,69,200,-6,0xa123,82,200,88,81,73,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,81,79,71,200,-7,0xd123,0.75,3.75
86,200,86,77,69,200,-6,0xa123,82,200,86,81,73,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,84,79,71,200,-7,0xd123,0.75,3.75
86,200,86,76,68,200,-6,0xa123,82,200,86,80,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,84,78,71,200,-7,0xd123,0.75,3.75
86,200,86,76,74,200,-6,0xa123,82,200,86,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,84,78,70,200,-7,0xd123,0.75,3.75
88,200,84,76,71,200,-6,0xa123,83,200,90,81,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,76,200,80,78,72,200,-7,0xd123,0.75,3.75
88,200,84,80,71,200,-6,0xa123,83,200,90,82,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,80,79,72,200,-7,0xd123,0.75,3.75
88,200,91,80,71,200,-6,0xa123,83,200,85,83,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,87,79,72,200,-7,0xd123,0.75,3.75
87,200,81,76,68,200,-6,0xa123,83,200,85,82,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,79,79,74,200,-7,0xd123,0.75,3.75
82,200,81,74,74,200,-6,0xa123,86,200,83,86,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,80,78,85,200,-7,0xd123,2.25,3.75
83,200,81,77,85,200,-6,0xa123,81,200,90,89,77,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,74,81,84,200,-7,0xd123,2.25,3.75
78,200,85,77,84,200,-6,0xa123,81,200,87,89,78,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,74,81,77,200,-7,0xd123,2.25,3.75
78,200,85,77,88,200,-6,0xa123,81,200,87,87,78,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,74,84,82,200,-7,0xd123,2.25,3.75
78,200,87,76,88,200,-6,0xa123,81,200,88,85,78,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,89,81,82,200,-7,0xd123,2.25,3.75
78,200,87,75,86,200,-6,0xa123,83,200,88,86,77,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,89,81,76,200,-7,0xd123,2.25,3.75
80,200,78,76,86,200,-6,0xa123,83,200,92,87,77,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,83,79,76,200,-7,0xd123,2.25,3.75
79,200,77,78,72,200,-6,0xa123,81,200,83,87,76,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,73,79,83,200,-7,0xd123,2.25,3.75
80,200,78,71,72,200,-6,0xa123,87,200,83,80,76,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,73,80,83,200,-7,0xd123,2.25,3.75
77,200,78,78,73,200,-6,0xa123,83,200,89,81,79,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,74,85,80,200,-7,0xd123,2.25,3.75
78,200,78,79,73,200,-6,0xa123,83,200,89,83,79,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,74,85,80,200,-7,0xd123,2.25,3.75
73,200,81,73,75,200,-6,0xa123,72,200,81,79,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,89,78,82,200,-7,0xd123,3.75,2.25
69,200,81,73,75,200,-6,0xa123,72,200,83,79,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,89,78,82,200,-7,0xd123,3.75,2.25
69,200,80,73,83,200,-6,0xa123,72,200,79,81,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,89,80,82,200,-7,0xd123,3.75,2.25
71,200,77,71,83,200,-6,0xa123,74,200,83,80,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,89,79,82,200,-7,0xd123,3.75,2.25
69,200,81,72,83,200,-6,0xa123,74,200,78,83,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,88,79,82,200,-7,0xd123,3.75,2.25
69,200,81,76,76,200,-6,0xa123,74,200,78,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,88,82,73,200,-7,0xd123,3.75,2.25
70,200,81,74,76,200,-6,0xa123,74,200,78,80,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,88,79,75,200,-7,0xd123,3.75,2.25
69,200,81,72,75,200,-6,0xa123,72,200,83,82,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,88,80,84,200,-7,0xd123,3.75,2.25
69,200,81,73,76,200,-6,0xa123,72,200,83,82,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,88,80,80,200,-7,0xd123,3.75,2.25
69,200,78,73,83,200,-6,0xa123,72,200,83,80,77,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,89,79,82,200,-7,0xd123,3.75,2.25
72,200,84,73,82,200,-6,0xa123,72,200,79,81,74,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,89,79,84,200,-7,0xd123,3.75,2.25
70,200,82,72,76,200,-6,0xa123,72,200,89,81,76,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,73,200,90,82,85,200,-7,0xd123,3.75,2.25
