Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
83,78,79,200,-7,0xb123,A2
74,78,83,200,-10,0xa123,A2
80,71,72,200,-7,0xb123,A2
70,79,80,200,-10,0xa123,A2
70,73,75,200,-7,0xb123,A2
74,84,82,200,-10,0xa123,A2
74,69,74,200,-7,0xb123,A2
74,86,77,200,-10,0xa123,A2
77,85,73,200,-7,0xb123,A2
69,81,79,200,-10,0xa123,A2
61,86,71,200,-7,0xb123,A2
71,85,80,200,-10,0xa123,B3
80,69,79,200,-7,0xb123,B3
76,80,79,200,-10,0xa123,B3
67,76,72,200,-7,0xb123,B3
78,77,78,200,-10,0xa123,B3
73,71,86,200,-7,0xb123,B3
78,83,76,200,-10,0xa123,B3
71,82,74,200,-7,0xb123,B3
78,88,76,200,-10,0xa123,B3
76,77,74,200,-7,0xb123,B3
74,83,79,200,-10,0xa123,B3
67,71,81,200,-7,0xb123,B3
82,78,77,200,-10,0xa123,B3
69,73,78,200,-7,0xb123,B3
76,74,74,200,-10,0xa123,B3
75,77,75,200,-7,0xb123,B3
72,82,90,200,-10,0xa123,B3
67,73,67,200,-7,0xb123,B3
79,79,82,200,-10,0xa123,B3
68,71,76,200,-7,0xb123,B3
73,80,91,200,-10,0xa123,B3
72,70,73,200,-7,0xb123,B3
71,81,79,200,-10,0xa123,B3
79,73,72,200,-7,0xb123,B3
73,81,76,200,-10,0xa123,B3
84,73,80,200,-7,0xb123,B3
71,82,82,200,-10,0xa123,B3
75,67,73,200,-7,0xb123,B3
76,82,77,200,-10,0xa123,B3
73,75,76,200,-7,0xb123,B3
71,82,77,200,-10,0xa123,B3
72,73,72,200,-7,0xb123,B3
72,74,80,200,-10,0xa123,B3
76,83,79,200,-7,0xb123,B3
72,85,77,200,-10,0xa123,B3
65,80,72,200,-7,0xb123,B3
73,74,74,200,-10,0xa123,B3
77,72,73,200,-7,0xb123,B3
84,74,72,200,-10,0xa123,B3
79,78,75,200,-7,0xb123,B3
73,80,81,200,-10,0xa123,B3
75,77,85,200,-7,0xb123,B3
79,78,85,200,-10,0xa123,B3
72,77,82,200,-7,0xb123,B3
70,84,76,200,-10,0xa123,B3
71,78,70,200,-7,0xb123,B3
75,80,77,200,-10,0xa123,B3
70,66,71,200,-7,0xb123,B3
73,83,86,200,-10,0xa123,B3
73,78,75,200,-7,0xb123,B3
69,74,79,200,-10,0xa123,B3
71,73,77,200,-7,0xb123,B3
81,71,84,200,-10,0xa123,B3
80,75,77,200,-7,0xb123,B3
70,80,77,200,-10,0xa123,B3
71,74,71,200,-7,0xb123,B3
72,79,86,200,-10,0xa123,B3
68,79,73,200,-7,0xb123,B3
80,74,76,200,-10,0xa123,B3
69,84,77,200,-7,0xb123,B3
72,75,76,200,-10,0xa123,B3
71,68,77,200,-7,0xb123,B3
67,80,75,200,-10,0xa123,B3
75,80,74,200,-7,0xb123,B3
78,78,79,200,-10,0xa123,B3
64,75,70,200,-7,0xb123,B3
70,79,75,200,-10,0xa123,B3
72,81,69,200,-7,0xb123,B3
78,82,76,200,-10,0xa123,B3
71,79,68,200,-7,0xb123,B3
71,76,78,200,-10,0xa123,B3
73,73,70,200,-7,0xb123,B3
75,78,73,200,-10,0xa123,B3
69,85,73,200,-7,0xb123,B3
79,82,80,200,-10,0xa123,B3
69,68,81,200,-7,0xb123,B3
77,88,88,200,-10,0xa123,B3
78,77,82,200,-7,0xb123,B3
76,81,87,200,-10,0xa123,C4
70,87,83,200,-7,0xb123,C4
73,79,90,200,-10,0xa123,C4
78,83,86,200,-7,0xb123,C4
80,87,75,200,-10,0xa123,C4
78,80,82,200,-7,0xb123,C4
72,85,80,200,-10,0xa123,C4
83,78,79,200,-7,0xb123,C4
78,85,83,200,-10,0xa123,C4
70,86,81,200,-7,0xb123,C4
75,87,81,200,-10,0xa123,C4
79,87,86,200,-7,0xb123,C4
79,83,86,200,-10,0xa123,C4
77,89,76,200,-7,0xb123,C4
78,82,83,200,-10,0xa123,C4
82,79,73,200,-7,0xb123,C4
85,81,80,200,-10,0xa123,C4
79,84,74,200,-7,0xb123,C4
79,83,88,200,-10,0xa123,C4
79,90,71,200,-7,0xb123,C4
79,85,77,200,-10,0xa123,C4
79,84,77,200,-7,0xb123,C4
81,82,79,200,-10,0xa123,C4
81,78,72,200,-7,0xb123,C4
75,88,79,200,-10,0xa123,C4
70,73,76,200,-7,0xb123,C4
79,78,75,200,-10,0xa123,C4
70,75,71,200,-7,0xb123,C4
83,85,81,200,-10,0xa123,C4
78,82,79,200,-7,0xb123,C4
85,74,78,200,-10,0xa123,C4
82,78,79,200,-7,0xb123,C4
83,83,82,200,-10,0xa123,C4
71,80,81,200,-7,0xb123,C4
76,88,78,200,-10,0xa123,C4
74,80,75,200,-7,0xb123,C4
84,84,85,200,-10,0xa123,C4
79,78,87,200,-7,0xb123,C4
77,85,79,200,-10,0xa123,C4
82,84,80,200,-7,0xb123,C4
78,80,78,200,-10,0xa123,C4
77,87,77,200,-7,0xb123,C4
73,83,85,200,-10,0xa123,C4
78,81,78,200,-7,0xb123,C4
76,82,84,200,-10,0xa123,C4
77,82,87,200,-7,0xb123,C4
75,78,79,200,-10,0xa123,C4
75,76,76,200,-7,0xb123,C4
80,82,87,200,-10,0xa123,C4
74,78,75,200,-7,0xb123,C4
75,81,76,200,-10,0xa123,C4
79,79,84,200,-7,0xb123,C4
77,80,81,200,-10,0xa123,C4
78,80,78,200,-7,0xb123,C4
78,87,85,200,-10,0xa123,C4
82,78,78,200,-7,0xb123,C4
77,79,83,200,-10,0xa123,C4
66,76,75,200,-7,0xb123,C4
74,79,82,200,-10,0xa123,C4
83,78,77,200,-7,0xb123,C4
79,84,76,200,-10,0xa123,C4
71,82,75,200,-7,0xb123,C4
84,79,77,200,-10,0xa123,C4
71,77,79,200,-7,0xb123,C4
77,80,84,200,-10,0xa123,C4
78,79,79,200,-7,0xb123,C4
75,91,88,200,-10,0xa123,C4
73,75,78,200,-7,0xb123,C4
80,80,83,200,-10,0xa123,C4
74,82,85,200,-7,0xb123,C4
74,90,76,200,-10,0xa123,C4
75,79,74,200,-7,0xb123,C4
83,89,77,200,-10,0xa123,C4
79,87,85,200,-7,0xb123,C4
83,87,84,200,-10,0xa123,C4
71,78,75,200,-7,0xb123,C4
78,81,79,200,-10,0xa123,C4
72,85,81,200,-7,0xb123,C4
84,82,80,200,-10,0xa123,C4
76,83,75,200,-7,0xb123,C4
76,79,89,200,-10,0xa123,C4
79,85,81,200,-7,0xb123,C4
80,83,77,200,-10,0xa123,C4
80,80,74,200,-7,0xb123,C4
84,84,89,200,-10,0xa123,D5
79,75,91,200,-7,0xb123,D5
68,81,76,200,-10,0xa123,D5
85,74,74,200,-7,0xb123,D5
77,76,75,200,-10,0xa123,D5
80,74,75,200,-7,0xb123,D5
73,83,76,200,-10,0xa123,D5
83,76,75,200,-7,0xb123,D5
80,78,79,200,-10,0xa123,D5
70,75,75,200,-7,0xb123,D5
81,76,72,200,-10,0xa123,D5
69,73,87,200,-7,0xb123,D5
69,83,76,200,-10,0xa123,D5
66,74,77,200,-7,0xb123,D5
73,78,75,200,-10,0xa123,D5
70,77,73,200,-7,0xb123,D5
77,82,73,200,-10,0xa123,D5
74,78,76,200,-7,0xb123,D5
73,88,77,200,-10,0xa123,D5
73,90,76,200,-7,0xb123,D5
76,81,79,200,-10,0xa123,D5
74,76,71,200,-7,0xb123,D5
78,85,79,200,-10,0xa123,D5
68,80,73,200,-7,0xb123,D5
70,75,78,200,-10,0xa123,D5
75,83,74,200,-7,0xb123,D5
75,79,85,200,-10,0xa123,D5
73,86,86,200,-7,0xb123,D5
82,76,81,200,-10,0xa123,D5
78,79,87,200,-7,0xb123,D5
75,83,75,200,-10,0xa123,D5
75,86,75,200,-7,0xb123,D5
66,88,71,200,-10,0xa123,D5
77,77,75,200,-7,0xb123,D5
82,80,85,200,-10,0xa123,D5
73,80,75,200,-7,0xb123,D5
74,79,71,200,-10,0xa123,D5
80,84,75,200,-7,0xb123,D5
72,81,78,200,-10,0xa123,D5
68,81,74,200,-7,0xb123,D5
70,84,83,200,-10,0xa123,D5
77,77,74,200,-7,0xb123,D5
74,75,71,200,-10,0xa123,D5
73,78,74,200,-7,0xb123,D5
74,81,76,200,-10,0xa123,D5
73,82,78,200,-7,0xb123,D5
67,74,74,200,-10,0xa123,D5
79,87,76,200,-7,0xb123,D5
71,79,76,200,-10,0xa123,D5
78,89,76,200,-7,0xb123,D5
80,83,83,200,-10,0xa123,D5
81,78,78,200,-7,0xb123,D5
79,75,80,200,-10,0xa123,D5
71,82,79,200,-7,0xb123,D5
71,85,76,200,-10,0xa123,D5
79,77,79,200,-7,0xb123,D5
76,77,71,200,-10,0xa123,D5
74,72,73,200,-7,0xb123,D5
65,78,72,200,-10,0xa123,D5
72,75,72,200,-7,0xb123,D5
76,84,73,200,-10,0xa123,D5
83,83,80,200,-7,0xb123,D5
77,72,71,200,-10,0xa123,D5
75,73,70,200,-7,0xb123,D5
74,86,85,200,-10,0xa123,D5
68,83,72,200,-7,0xb123,D5
86,80,75,200,-10,0xa123,D5
76,75,82,200,-7,0xb123,D5
81,72,74,200,-10,0xa123,D5
71,79,76,200,-7,0xb123,D5
73,80,73,200,-10,0xa123,D5
75,76,82,200,-7,0xb123,D5
83,77,77,200,-10,0xa123,D5
71,85,80,200,-7,0xb123,D5
78,80,79,200,-10,0xa123,D5
74,77,74,200,-7,0xb123,D5
80,79,80,200,-10,0xa123,E6
79,85,79,200,-7,0xb123,E6
85,77,77,200,-10,0xa123,E6
85,83,82,200,-7,0xb123,E6
77,80,77,200,-10,0xa123,E6
75,84,85,200,-7,0xb123,E6
79,84,77,200,-10,0xa123,E6
77,83,77,200,-7,0xb123,E6
77,81,79,200,-10,0xa123,E6
77,73,82,200,-7,0xb123,E6
82,90,83,200,-10,0xa123,E6
80,89,86,200,-7,0xb123,E6
85,82,83,200,-10,0xa123,E6
80,83,83,200,-7,0xb123,E6
78,84,84,200,-10,0xa123,E6
80,82,81,200,-7,0xb123,E6
85,91,83,200,-10,0xa123,E6
82,78,80,200,-7,0xb123,E6
77,73,73,200,-10,0xa123,E6
86,87,80,200,-7,0xb123,E6
79,82,78,200,-10,0xa123,E6
83,87,81,200,-7,0xb123,E6
75,86,78,200,-10,0xa123,E6
79,84,80,200,-7,0xb123,E6
75,82,78,200,-10,0xa123,E6
82,90,85,200,-7,0xb123,E6
83,82,75,200,-10,0xa123,E6
79,90,81,200,-7,0xb123,E6
79,78,82,200,-10,0xa123,E6
83,88,87,200,-7,0xb123,E6
74,84,76,200,-10,0xa123,E6
72,78,84,200,-7,0xb123,E6
78,84,75,200,-10,0xa123,E6
72,85,77,200,-7,0xb123,E6
77,86,83,200,-10,0xa123,E6
75,85,86,200,-7,0xb123,E6
77,81,76,200,-10,0xa123,E6
77,81,78,200,-7,0xb123,E6
72,85,77,200,-10,0xa123,E6
79,80,82,200,-7,0xb123,E6
79,84,85,200,-10,0xa123,E6
82,85,83,200,-7,0xb123,E6
79,85,76,200,-10,0xa123,E6
