Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
64,69,71,200,-7,0xb123,2.4
69,76,85,200,-10,0xa123,2.4
70,70,74,200,-7,0xb123,2.4
68,73,74,200,-10,0xa123,2.4
68,78,66,200,-7,0xb123,2.4
75,77,79,200,-10,0xa123,2.4
65,73,76,200,-7,0xb123,2.4
72,79,79,200,-10,0xa123,2.4
83,78,79,200,-7,0xb123,2.4
74,78,83,200,-10,0xa123,2.4
80,71,72,200,-7,0xb123,2.4
70,79,80,200,-10,0xa123,2.4
70,73,75,200,-7,0xb123,2.4
74,84,82,200,-10,0xa123,2.4
74,69,74,200,-7,0xb123,2.4
74,86,77,200,-10,0xa123,2.4
77,85,73,200,-7,0xb123,2.4
69,81,79,200,-10,0xa123,2.4
61,86,71,200,-7,0xb123,2.4
71,85,80,200,-10,0xa123,3.6
80,69,79,200,-7,0xb123,3.6
76,80,79,200,-10,0xa123,3.6
67,76,72,200,-7,0xb123,3.6
78,77,78,200,-10,0xa123,3.6
73,71,86,200,-7,0xb123,3.6
78,83,76,200,-10,0xa123,3.6
71,82,74,200,-7,0xb123,3.6
78,88,76,200,-10,0xa123,3.6
76,77,74,200,-7,0xb123,3.6
74,83,79,200,-10,0xa123,3.6
67,71,81,200,-7,0xb123,3.6
82,78,77,200,-10,0xa123,3.6
69,73,78,200,-7,0xb123,3.6
76,74,74,200,-10,0xa123,3.6
75,77,75,200,-7,0xb123,3.6
72,82,90,200,-10,0xa123,3.6
67,73,67,200,-7,0xb123,3.6
79,79,82,200,-10,0xa123,3.6
68,71,76,200,-7,0xb123,3.6
73,80,91,200,-10,0xa123,3.6
72,70,73,200,-7,0xb123,3.6
71,81,79,200,-10,0xa123,3.6
79,73,72,200,-7,0xb123,3.6
73,81,76,200,-10,0xa123,3.6
84,73,80,200,-7,0xb123,3.6
71,82,82,200,-10,0xa123,3.6
75,67,73,200,-7,0xb123,3.6
76,82,77,200,-10,0xa123,3.6
73,75,76,200,-7,0xb123,3.6
71,82,77,200,-10,0xa123,3.6
72,73,72,200,-7,0xb123,3.6
72,74,80,200,-10,0xa123,3.6
76,83,79,200,-7,0xb123,3.6
72,85,77,200,-10,0xa123,3.6
65,80,72,200,-7,0xb123,3.6
73,74,74,200,-10,0xa123,3.6
77,72,73,200,-7,0xb123,3.6
84,74,72,200,-10,0xa123,3.6
79,78,75,200,-7,0xb123,3.6
73,80,81,200,-10,0xa123,3.6
75,77,85,200,-7,0xb123,3.6
79,78,85,200,-10,0xa123,3.6
72,77,82,200,-7,0xb123,3.6
70,84,76,200,-10,0xa123,3.6
71,78,70,200,-7,0xb123,3.6
75,80,77,200,-10,0xa123,3.6
70,66,71,200,-7,0xb123,3.6
73,83,86,200,-10,0xa123,3.6
73,78,75,200,-7,0xb123,3.6
69,74,79,200,-10,0xa123,3.6
71,73,77,200,-7,0xb123,3.6
81,71,84,200,-10,0xa123,3.6
80,75,77,200,-7,0xb123,3.6
70,80,77,200,-10,0xa123,3.6
71,74,71,200,-7,0xb123,3.6
72,79,86,200,-10,0xa123,3.6
68,79,73,200,-7,0xb123,3.6
80,74,76,200,-10,0xa123,3.6
69,84,77,200,-7,0xb123,3.6
72,75,76,200,-10,0xa123,3.6
71,68,77,200,-7,0xb123,3.6
67,80,75,200,-10,0xa123,3.6
75,80,74,200,-7,0xb123,3.6
78,78,79,200,-10,0xa123,3.6
64,75,70,200,-7,0xb123,3.6
70,79,75,200,-10,0xa123,3.6
72,81,69,200,-7,0xb123,3.6
78,82,76,200,-10,0xa123,3.6
71,79,68,200,-7,0xb123,3.6
71,76,78,200,-10,0xa123,3.6
73,73,70,200,-7,0xb123,3.6
75,78,73,200,-10,0xa123,3.6
69,85,73,200,-7,0xb123,3.6
79,82,80,200,-10,0xa123,3.6
69,68,81,200,-7,0xb123,3.6
77,88,88,200,-10,0xa123,3.6
78,77,82,200,-7,0xb123,3.6
76,81,87,200,-10,0xa123,4.8
70,87,83,200,-7,0xb123,4.8
73,79,90,200,-10,0xa123,4.8
78,83,86,200,-7,0xb123,4.8
80,87,75,200,-10,0xa123,4.8
78,80,82,200,-7,0xb123,4.8
72,85,80,200,-10,0xa123,4.8
83,78,79,200,-7,0xb123,4.8
78,85,83,200,-10,0xa123,4.8
70,86,81,200,-7,0xb123,4.8
75,87,81,200,-10,0xa123,4.8
79,87,86,200,-7,0xb123,4.8
79,83,86,200,-10,0xa123,4.8
77,89,76,200,-7,0xb123,4.8
78,82,83,200,-10,0xa123,4.8
82,79,73,200,-7,0xb123,4.8
85,81,80,200,-10,0xa123,4.8
79,84,74,200,-7,0xb123,4.8
79,83,88,200,-10,0xa123,4.8
79,90,71,200,-7,0xb123,4.8
79,85,77,200,-10,0xa123,4.8
79,84,77,200,-7,0xb123,4.8
81,82,79,200,-10,0xa123,4.8
81,78,72,200,-7,0xb123,4.8
75,88,79,200,-10,0xa123,4.8
70,73,76,200,-7,0xb123,4.8
79,78,75,200,-10,0xa123,4.8
70,75,71,200,-7,0xb123,4.8
83,85,81,200,-10,0xa123,4.8
78,82,79,200,-7,0xb123,4.8
85,74,78,200,-10,0xa123,4.8
82,78,79,200,-7,0xb123,4.8
83,83,82,200,-10,0xa123,4.8
71,80,81,200,-7,0xb123,4.8
76,88,78,200,-10,0xa123,4.8
74,80,75,200,-7,0xb123,4.8
84,84,85,200,-10,0xa123,4.8
79,78,87,200,-7,0xb123,4.8
77,85,79,200,-10,0xa123,4.8
82,84,80,200,-7,0xb123,4.8
78,80,78,200,-10,0xa123,4.8
77,87,77,200,-7,0xb123,4.8
73,83,85,200,-10,0xa123,4.8
78,81,78,200,-7,0xb123,4.8
76,82,84,200,-10,0xa123,4.8
77,82,87,200,-7,0xb123,4.8
75,78,79,200,-10,0xa123,4.8
75,76,76,200,-7,0xb123,4.8
80,82,87,200,-10,0xa123,4.8
74,78,75,200,-7,0xb123,4.8
75,81,76,200,-10,0xa123,4.8
79,79,84,200,-7,0xb123,4.8
77,80,81,200,-10,0xa123,4.8
78,80,78,200,-7,0xb123,4.8
78,87,85,200,-10,0xa123,4.8
82,78,78,200,-7,0xb123,4.8
77,79,83,200,-10,0xa123,4.8
66,76,75,200,-7,0xb123,4.8
74,79,82,200,-10,0xa123,4.8
83,78,77,200,-7,0xb123,4.8
79,84,76,200,-10,0xa123,4.8
71,82,75,200,-7,0xb123,4.8
84,79,77,200,-10,0xa123,4.8
71,77,79,200,-7,0xb123,4.8
77,80,84,200,-10,0xa123,4.8
78,79,79,200,-7,0xb123,4.8
75,91,88,200,-10,0xa123,4.8
73,75,78,200,-7,0xb123,4.8
80,80,83,200,-10,0xa123,4.8
74,82,85,200,-7,0xb123,4.8
74,90,76,200,-10,0xa123,4.8
75,79,74,200,-7,0xb123,4.8
83,89,77,200,-10,0xa123,4.8
79,87,85,200,-7,0xb123,4.8
83,87,84,200,-10,0xa123,4.8
71,78,75,200,-7,0xb123,4.8
78,81,79,200,-10,0xa123,4.8
72,85,81,200,-7,0xb123,4.8
84,82,80,200,-10,0xa123,4.8
76,83,75,200,-7,0xb123,4.8
76,79,89,200,-10,0xa123,4.8
79,85,81,200,-7,0xb123,4.8
80,83,77,200,-10,0xa123,4.8
80,80,74,200,-7,0xb123,4.8
84,84,89,200,-10,0xa123,6
79,75,91,200,-7,0xb123,6
68,81,76,200,-10,0xa123,6
85,74,74,200,-7,0xb123,6
